RA;Fase;INDE_ATUAL;Pedra Atual;Pedra Passada;Turma;Nome Anonimizado;Data de Nasc;Idade;Gênero;Ano ingresso;Instituição de ensino;INDE_ANTERIOR;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Mat;Por;Ing;Indicado;Atingiu PV;IPV;IAN;Fase Ideal;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;ANO
RA-1;7;5.783;Quartzo;Ametista;A;Aluno-1;2003;19;Menina;2016;Escola Pública;;753;18;10;4.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Promovido de Fase + Bolsa;8.3;4.1;5.6;8.2;Requer avaliação;4.0;2.7;3.5;6.0;Sim;Não;7.3;5;8;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-2;7;7.055;Ametista;Ametista;A;Aluno-2;2005;17;Menina;2017;Rede Decisão;;469;8;3;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;8.8;5.2;6.3;7.9;Sem limitações;6.8;6.3;4.5;9.7;Não;Não;6.8;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-3;7;6.591;Ágata;Ametista;A;Aluno-3;2005;17;Menina;2016;Rede Decisão;;629;13;6;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;0.0;7.9;5.6;8.2;Sem limitações;5.6;5.8;4.0;6.9;Não;Não;7.6;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-4;7;5.951;Quartzo;Ametista;A;Aluno-4;2005;17;Menino;2017;Rede Decisão;;731;15;7;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;8.8;4.5;5.6;5.6;Requer avaliação;5.0;2.8;3.5;8.7;Não;Não;5.3;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-5;7;7.427;Ametista;Ametista;A;Aluno-5;2005;17;Menina;2016;Rede Decisão;;344;6;2;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;7.9;8.6;5.6;8.4;Requer avaliação;5.2;7.0;2.9;5.7;Não;Não;7.4;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-6;7;5.848;Quartzo;Ágata;A;Aluno-6;2004;18;Menina;2021;Escola Pública;;745;16;8;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;7.9;4.5;7.5;8.0;Sem limitações;3.3;2.3;5.3;2.3;Sim;Não;7.2;5;8;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-7;7;6.818;Ágata;Ametista;A;Aluno-7;2004;18;Menino;2017;Rede Decisão;;550;11;5;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;0.0;8.4;7.5;8.3;Sem limitações;7.6;8.2;5.7;9.0;Não;Não;7.7;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-8;7;4.786;Quartzo;Ágata;A;Aluno-8;2002;20;Menina;2018;Escola Pública;;836;21;13;4.0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;7.1;4.6;6.3;4.5;Requer avaliação;1.6;1.2;0.7;2.9;Não;Não;6.3;5;8;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-9;7;8.109;Topázio;Ametista;A;Aluno-9;2004;18;Menina;2019;Escola Pública;;113;1;1;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;8.8;9.5;7.5;8.4;Sem limitações;6.7;5.5;6.0;8.7;Sim;Sim;9.5;5;8;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-10;7;5.784;Quartzo;Ágata;A;Aluno-10;2004;18;Menina;2021;Escola Pública;;752;17;9;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;8.3;5.2;5.0;6.8;Requer avaliação;4.1;3.3;2.6;6.4;Não;Não;7.1;5;8;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-11;7;5.323;Quartzo;Ágata;A;Aluno-11;2004;18;Menina;2016;Escola Pública;;799;19;11;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;9.2;4.2;5.0;6.9;Requer avaliação;3.0;1.8;2.5;4.5;Não;Não;6.4;5;8;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-12;7;4.832;Quartzo;Ágata;A;Aluno-12;2005;17;Menina;2020;Escola Pública;;834;20;12;4.0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;0.0;4.0;6.9;7.6;Sem limitações;1.5;2.7;1.1;0.7;Sim;Não;6.4;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
